Time,mAU
17.33125333,-0.065922737
17.33610667,-0.066280365
17.34096,-0.066578388
17.34581333,-0.066757202
17.35066667,-0.066816807
17.35552,-0.067055225
17.36037333,-0.067234039
17.36522667,-0.067472458
17.37008,-0.067651272
17.37493333,-0.067591667
17.37978667,-0.06711483
17.38464,-0.066518784
17.38949333,-0.065684319
17.39434667,-0.065207481
17.3992,-0.065028667
17.40405333,-0.0654459
17.40890667,-0.066459179
17.41376,-0.067770481
17.41861333,-0.069022179
17.42346667,-0.070095062
17.42832,-0.070631504
17.43317333,-0.070571899
17.43802667,-0.069916248
17.44288,-0.069141388
17.44773333,-0.068306923
17.45258667,-0.067710876
17.45744,-0.067353249
17.46229333,-0.067412853
17.46714667,-0.067591667
17.472,-0.067949295
17.47685333,-0.068247318
17.48170667,-0.068366528
17.48656,-0.068187714
17.49141333,-0.06788969
17.49626667,-0.067532063
17.50112,-0.066936016
17.50597333,-0.066578388
17.51082667,-0.066101551
17.51568,-0.065743923
17.52053333,-0.065386295
17.52538667,-0.064849854
17.53024,-0.064432621
17.53509333,-0.063896179
17.53994667,-0.063657761
17.5448,-0.063598156
17.54965333,-0.063836575
17.55450667,-0.064313412
17.55936,-0.065088272
17.56421333,-0.066041946
17.56906667,-0.066995621
17.57392,-0.06788969
17.57877333,-0.068545341
17.58362667,-0.068962574
17.58848,-0.068962574
17.59333333,-0.068724155
17.59818667,-0.068187714
17.60304,-0.067651272
17.60789333,-0.067353249
17.61274667,-0.067532063
17.6176,-0.068128109
17.62245333,-0.069141388
17.62730667,-0.070214272
17.63216,-0.071048737
17.63701333,-0.071465969
17.64186667,-0.071227551
17.64672,-0.07045269
17.65157333,-0.069260597
17.65642667,-0.06788969
17.66128,-0.066637993
17.66613333,-0.065982342
17.67098667,-0.065803528
17.67584,-0.066101551
17.68069333,-0.066936016
17.68554667,-0.067651272
17.6904,-0.068366528
17.69525333,-0.06878376
17.70010667,-0.06878376
17.70496,-0.068485737
17.70981333,-0.068068504
17.71466667,-0.067532063
17.71952,-0.067353249
17.72437333,-0.067472458
17.72922667,-0.0680089
17.73408,-0.068843365
